nombre,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08
Misiones,,,,,,
San Luis,,,,,,
San Juan,,,,,,
Entre Ríos,,,,,,
Santa Cruz,,,,,,
Río Negro,,,,,,
Chubut,,,,,,
Córdoba,,,,,,
Mendoza,,,,,,
La Rioja,,,,,,
Catamarca,,,,,,
La Pampa,,,,,,
Santiago del Estero,,,,,,
Corrientes,,,,,,
Santa Fe,,,,,,
Tucumán,,,,,,
Neuquén,,,,,,
Salta,,,,,,
Chaco,,,,,,
Formosa,,,,,,
Jujuy,,,,,,
Ciudad Autónoma de Buenos Aires,1,,1,4,,
Buenos Aires,,,,,,
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",,,,,,
