color_mapa,mapa,mapache,region
1,Buenos Aires,Buenos Aires,Centro
2,Catamarca,Catamarca,NOA
3,Chaco,Chaco,NEA
4,Chubut,Chubut,Patagonia
5,Ciudad de Buenos Aires,CABA,Centro
6,Córdoba,Córdoba,Centro
7,Corrientes,Corrientes,NEA
8,Entre Ríos,Entre Ríos,Centro
9,Formosa,Formosa,NEA
10,Jujuy,Jujuy,NOA
11,La Pampa,La Pampa,Patagonia
12,La Rioja,La Rioja,Cuyo
13,Mendoza,Mendoza,Cuyo
14,Misiones,Misiones,NEA
15,Neuquén,Neuquén,Patagonia
16,Río Negro,Río Negro,Patagonia
17,Salta,Salta,NOA
18,San Juan,San Juan,Cuyo
19,San Luis,San Luis,Cuyo
20,Santa Cruz,Santa Cruz,Patagonia
21,Santa Fe,Santa Fe,Centro
22,Santiago del Estero,Santiago del Estero,NOA
23,Tierra del Fuego,Tierra del Fuego,Patagonia
24,Tucumán,Tucumán,NOA
25,Indeterminado,Indeterminado,Indeterminado
